gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
ALAS2,-0.93335768,0.541690035,0.215178236607835,0.999987227894048,6_month,CD8+ T Cell
CXCR4,0.3909781,6.36579905,0.251837566309958,0.999824143817305,6_month,cDC2
CCR4,-0.163328825,0.0816644125,0.391002218955771,0.999824143817305,6_month,cDC2
CCR6,-0.0579613675000001,1.85454344125,0.927539797900374,0.999824143817305,6_month,cDC2
CXCR5,0.26563485,0.8050469,0.629220492948884,0.999824143817305,6_month,cDC2
ALAS2,-0.243072325,0.1215361625,0.391002218955771,0.999824143817305,6_month,cDC2
CXCR4,0.0962487000000003,6.7329609,0.598452841036575,0.999966975535383,6_month,Lymphocyte
CCR4,0.133469225,1.7056093875,0.764021957202365,0.999966975535383,6_month,Lymphocyte
CCR6,-0.49351587,1.544311815,0.49272063087601,0.999966975535383,6_month,Lymphocyte
CXCR5,0.00483982499999991,1.9134337875,0.991894344343319,0.999966975535383,6_month,Lymphocyte
ALAS2,-0.570552445,0.4253915475,0.414042656466083,0.999966975535383,6_month,Lymphocyte
CXCR4,0.0932980250000002,7.1049777375,0.625719814254277,0.999736237640298,6_month,Memory CD4+ T Cell
CCR4,0.31501115,4.069893275,0.250863784342571,0.999736237640298,6_month,Memory CD4+ T Cell
CCR6,-0.294088625,4.6135110625,0.335073623264698,0.999736237640298,6_month,Memory CD4+ T Cell
CXCR5,-0.195620275,2.5917388625,0.196709638307422,0.999736237640298,6_month,Memory CD4+ T Cell
ALAS2,-0.32277391,0.252730895,0.497421522277448,0.999736237640298,6_month,Memory CD4+ T Cell
CXCR4,0.0460113500000006,6.720524675,0.867961206270661,0.99913240469322,6_month,Naive CD4+ T Cell
CCR4,0.0905329500000001,3.342093475,0.809787368880461,0.998066551652945,6_month,Naive CD4+ T Cell
CCR6,-0.82921295,3.63365155,0.175968868120046,0.996815812948814,6_month,Naive CD4+ T Cell
CXCR5,-0.734447525,2.3504733125,0.393818387768765,0.996815812948814,6_month,Naive CD4+ T Cell
ALAS2,-1.93462775,0.967313875,0.204882243248047,0.996815812948814,6_month,Naive CD4+ T Cell
CXCR4,0.112271675000001,6.9202871375,0.436928214074248,0.99934099457384,6_month,Naive CD8+ T Cell
CCR4,-0.587090045,0.7154319975,0.440352297357561,0.99934099457384,6_month,Naive CD8+ T Cell
CCR6,-0.4129227775,0.40321666375,0.229382287472923,0.99934099457384,6_month,Naive CD8+ T Cell
CXCR5,0.15482372,0.987500795,0.479437138953093,0.99934099457384,6_month,Naive CD8+ T Cell
ALAS2,-0.176640375,0.0883201875,0.391002218955771,0.99934099457384,6_month,Naive CD8+ T Cell
CXCR4,0.269291375,6.7632669125,0.606210793362807,0.997069432629415,6_month,NK Cell
CCR4,-0.013075875,0.0756306375,0.907149190705438,0.997069432629415,6_month,NK Cell
CCR6,-0.38559314,0.457685255,0.260501246931866,0.997069432629415,6_month,NK Cell
CXCR5,-0.0546303550000001,0.4905822225,0.833610516183347,0.997069432629415,6_month,NK Cell
ALAS2,-0.725682025,0.3628410125,0.243851027398083,0.997069432629415,6_month,NK Cell
