gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
CXCR5,-0.27329535,1.901742275,0.43062102016921,0.999482918316072,6_month,CD14+ Monocyte
LAG3,-0.1203974075,0.38294080875,0.662902740039855,0.999482918316072,6_month,CD14+ Monocyte
GZMB,0.544042925,2.3866863125,0.128946184685021,0.999482918316072,6_month,CD14+ Monocyte
CD40LG,-0.0798310250000001,1.1230056125,0.764095970620774,0.999482918316072,6_month,CD14+ Monocyte
CXCR4,0.851121825,5.4788424875,0.0689319405745007,0.997852891869193,6_month,CD16+ Monocyte
CTLA4,-0.15042765,0.912111175,0.816571866909407,0.997852891869193,6_month,CD16+ Monocyte
PDCD1,0.2213697,0.40190525,0.565650298849495,0.997852891869193,6_month,CD16+ Monocyte
CCR4,0.23808505,0.119042525,0.391002218955771,0.997852891869193,6_month,CD16+ Monocyte
TIGIT,0.32168501,0.39958563,0.22943096319182,0.997852891869193,6_month,CD16+ Monocyte
GZMK,0.0719454999999999,0.49390525,0.921593092483238,0.999837253247768,6_month,CD16+ Monocyte
GZMA,0.484248625,1.5925316875,0.624368484787956,0.997852891869193,6_month,CD16+ Monocyte
HAVCR2,0.4661443,3.44713345,0.226050667179951,0.997852891869193,6_month,CD16+ Monocyte
CCR6,0.53485455,0.352158325,0.235259831048584,0.997852891869193,6_month,CD16+ Monocyte
ITGB1,0.04304065,5.150797375,0.698425272359,0.997852891869193,6_month,CD16+ Monocyte
PRF1,1.3702536625,1.29608684375,0.161693030714491,0.997852891869193,6_month,CD16+ Monocyte
CXCR5,0.452525035,1.3364090925,0.403387922254393,0.997852891869193,6_month,CD16+ Monocyte
LAG3,0.0995659425,0.19768252125,0.744150732874716,0.997852891869193,6_month,CD16+ Monocyte
GZMB,0.719476975,1.6595942625,0.483018918014204,0.997852891869193,6_month,CD16+ Monocyte
CD40LG,0.00742420999999993,0.660543605,0.987485153809567,0.999837253247768,6_month,CD16+ Monocyte
CXCR4,0.14093375,7.347285375,0.599064641607483,0.999987227894048,6_month,CD8+ T Cell
CTLA4,0.0391240000000002,2.418533375,0.892726588109346,0.999987227894048,6_month,CD8+ T Cell
PDCD1,-0.27807455,2.62306215,0.591863469403805,0.999987227894048,6_month,CD8+ T Cell
CCR4,0.0287040125,1.31759899375,0.951625704520382,0.999987227894048,6_month,CD8+ T Cell
TIGIT,0.0529038249999996,3.3661731625,0.796011764445413,0.999987227894048,6_month,CD8+ T Cell
GZMK,-0.38130675,5.678820725,0.384180770477527,0.999987227894048,6_month,CD8+ T Cell
GZMA,0.0254591250000003,6.0644151625,0.908441127129713,0.999987227894048,6_month,CD8+ T Cell
HAVCR2,0.291778575,1.8178026875,0.357770606518739,0.999987227894048,6_month,CD8+ T Cell
CCR6,-0.47271775,3.059349425,0.536643757604328,0.999987227894048,6_month,CD8+ T Cell
ITGB1,0.372037375000001,5.3192313875,0.299865715139364,0.999987227894048,6_month,CD8+ T Cell
PRF1,0.133187700000001,5.21156165,0.692377372526106,0.999987227894048,6_month,CD8+ T Cell
CXCR5,0.0965477750000001,1.3405563875,0.751640580734777,0.999987227894048,6_month,CD8+ T Cell
LAG3,-0.16981185,4.185519025,0.3805949346649,0.999987227894048,6_month,CD8+ T Cell
GZMB,0.291976025,5.4599005875,0.504240554386313,0.999987227894048,6_month,CD8+ T Cell
CD40LG,0.254409675000001,3.0622010375,0.471118693480325,0.999987227894048,6_month,CD8+ T Cell
CXCR4,0.3909781,6.36579905,0.251837566309958,0.999824143817305,6_month,cDC2
CTLA4,-0.886248725,1.8175967125,0.175545111145323,0.999824143817305,6_month,cDC2
PDCD1,0.6335940075,0.54347145375,0.151836956613823,0.999824143817305,6_month,cDC2
CCR4,-0.163328825,0.0816644125,0.391002218955771,0.999824143817305,6_month,cDC2
TIGIT,0.6151928375,0.30759641875,0.291351059976852,0.999824143817305,6_month,cDC2
GZMK,-0.431115825,0.2155579125,0.391002218955771,0.999824143817305,6_month,cDC2
GZMA,0.656980955,0.3284904775,0.0689037319339214,0.999824143817305,6_month,cDC2
HAVCR2,0.0576931249999992,4.3911676875,0.867459541711682,0.999824143817305,6_month,cDC2
CCR6,-0.0579613675000001,1.85454344125,0.927539797900374,0.999824143817305,6_month,cDC2
ITGB1,-0.0356883750000003,4.3722909375,0.780768570618898,0.999824143817305,6_month,cDC2
PRF1,0.8183763125,0.40918815625,0.230851318096389,0.999824143817305,6_month,cDC2
CXCR5,0.26563485,0.8050469,0.629220492948884,0.999824143817305,6_month,cDC2
LAG3,0.3613331375,0.18066656875,0.228745168837558,0.999824143817305,6_month,cDC2
GZMB,0.0148787499999994,5.77779925,0.983649894288027,0.999824143817305,6_month,cDC2
CD40LG,-0.2777460175,0.34908711625,0.463295223536965,0.999824143817305,6_month,cDC2
CXCR4,0.0962487000000003,6.7329609,0.598452841036575,0.999966975535383,6_month,Lymphocyte
CTLA4,-0.0288575249999998,3.5766004375,0.909185461201416,0.999966975535383,6_month,Lymphocyte
PDCD1,-0.3183219425,0.52370506125,0.507452987770747,0.999966975535383,6_month,Lymphocyte
CCR4,0.133469225,1.7056093875,0.764021957202365,0.999966975535383,6_month,Lymphocyte
TIGIT,-0.25929095,1.646267225,0.542803329472006,0.999966975535383,6_month,Lymphocyte
GZMK,-1.2673020175,1.35857094125,0.133999608164708,0.999966975535383,6_month,Lymphocyte
