gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
GZMA,0.118234500241157,0.85492104,0.321077627391004,0.752688860862285,0.97460861685735,-4.66217299151883,NS,1_month,cDC2
CXCR4,-0.0448021471061075,6.41118704666667,-0.225845832563914,0.824443538913581,0.980628364133927,-4.66599344440196,NS,1_month,cDC2
CTLA4,-0.0111495996985526,1.36600495666667,-0.0234043884494802,0.981643688513404,0.999113183111867,-4.66971875631411,NS,1_month,cDC2
ISG15,-0.00200066804662313,3.8512847,-0.00460262592433815,0.9963897729444,0.999954702280533,-4.6697577593294,NS,1_month,cDC2
GZMK,-1.36172544324759,1.90127228866667,-3.23637631302249,0.00661966030294593,0.89123232744596,-3.41662625973975,NS,1_month,Lymphocyte
ALAS2,-1.15023491185289,1.97583634866667,-1.28125621264925,0.222846510607075,0.89123232744596,-4.53001683563441,NS,1_month,Lymphocyte
IFIT2,1.0297324511053,2.47972128,2.80103953132806,0.0151972883017766,0.89123232744596,-3.66361060889474,NS,1_month,Lymphocyte
GZMA,-0.80446725744574,1.193784664,-2.51433252983636,0.0261359567628222,0.89123232744596,-3.83275392591915,NS,1_month,Lymphocyte
IFIT3,0.78414480192926,1.63948765,2.09451517663194,0.056712102637975,0.89123232744596,-4.08301194594559,NS,1_month,Lymphocyte
CD40LG,0.368146458319935,3.84953464,2.92330767518851,0.0120392364689854,0.89123232744596,-3.5928023001238,NS,1_month,Lymphocyte
PDCD1,-0.359732750592846,0.707696020666667,-1.97753869425873,0.0699391027899626,0.89123232744596,-4.15190682848161,NS,1_month,Lymphocyte
CCR4,0.299462870940513,1.7586448,1.03968501782216,0.317741931450569,0.89123232744596,-4.63861765728758,NS,1_month,Lymphocyte
TNF,0.282531018247589,2.299259,1.14631758092384,0.272657688748951,0.89123232744596,-4.59262723342166,NS,1_month,Lymphocyte
CXCR4,-0.153166588866559,6.69952534,-1.34790845141157,0.201077394745268,0.89123232744596,-4.49745147810663,NS,1_month,Lymphocyte
LAG3,-0.138840210506431,1.385143318,-0.775026612499462,0.452415048081753,0.904260041948393,-4.73738186499967,NS,1_month,Lymphocyte
PRF1,0.125178779180064,1.56447885333333,0.765211655631497,0.458033483340457,0.904260041948393,-4.74058200705111,NS,1_month,Lymphocyte
ISG15,-0.132792994674438,3.79657811333333,-0.731963050651366,0.477389663228148,0.908273607629611,-4.75116027915189,NS,1_month,Lymphocyte
CCR6,-0.290311306471061,1.83812744666667,-0.621035609067895,0.545485159826056,0.920492462563452,-4.78343730176503,NS,1_month,Lymphocyte
TIGIT,-0.125378348231511,2.00800256,-0.622540597621914,0.544526163942849,0.920492462563452,-4.78303121698877,NS,1_month,Lymphocyte
HAVCR2,-0.119892692825563,1.38099414,-0.426888169046219,0.676558692507247,0.94767857377044,-4.82813357428783,NS,1_month,Lymphocyte
CXCR5,0.0718987189308677,2.01082800666667,0.323958110672228,0.751206183644549,0.961733734988366,-4.84540410658535,NS,1_month,Lymphocyte
ITGB1,-0.0410743445136652,3.98069762,-0.266703338087816,0.793949060010876,0.968814677411046,-4.85301288419763,NS,1_month,Lymphocyte
CTLA4,0.0411397937700975,3.575058,0.186471938827631,0.85499976914193,0.97907459704174,-4.86122862466292,NS,1_month,Lymphocyte
GZMB,-0.0324173012781354,0.50174854,-0.162234657811866,0.873656005903719,0.982061650558632,-4.8631436606887,NS,1_month,Lymphocyte
GZMK,-0.916686382837619,3.95945216666667,-2.01674079021874,0.0642505396529585,0.805534155738599,-4.08857856470679,NS,1_month,Memory CD4 T Cell
GZMA,-0.903419482174437,3.59095723333333,-2.25987262239221,0.0411049171740125,0.805534155738599,-3.92737333146736,NS,1_month,Memory CD4 T Cell
IFIT3,0.690901098472669,2.13912174666667,1.79600114562136,0.0950997992248654,0.805534155738599,-4.23081281147673,NS,1_month,Memory CD4 T Cell
LAG3,-0.483023016680065,2.25643632,-2.17491025173753,0.0481218180785387,0.805534155738599,-3.98406297346536,NS,1_month,Memory CD4 T Cell
